image,bird view,daylight,fog,front view,high alt,lagre occlusion,long term,low alt,medium alt,medium occlusion,medium out,night,no occlusion,no out,sequence,side view,small occlusion,small out,target id,havecar
M0403_img000238,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M1401_img000436,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
S0103_img000368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
M1001_img000203,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
S1304_img000473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S0101_img000476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S0101_img001724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1301_img000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1310_img000781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S0103_img000708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
M0602_img000204,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
S1603_img000747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1603_img002180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1309_img000239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1603_img000944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1306_img001717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1309_img000805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
M0802_img000723,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
S1312_img001041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
M0403_img000257,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
S1603_img002073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S0201_img000513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
M0203_img000195,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
S0501_img000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1201_img001544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1603_img000837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1101_img000283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
