image,bird view,daylight,fog,front view,high alt,lagre occlusion,long term,low alt,medium alt,medium occlusion,medium out,night,no occlusion,no out,sequence,side view,small occlusion,small out,target id,havecar
M0204_img000167,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
M1008_img000140,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1102_img000707,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0704_img000653,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0603_img001734,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M1305_img000497,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0603_img000027,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0604_img000053,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0603_img001328,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0501_img000013,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
M1306_img001067,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0901_img001900,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
M1005_img000237,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0603_img001612,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0206_img000012,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M1102_img000898,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0704_img000238,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0704_img000416,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0402_img000060,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0206_img000220,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M1002_img000061,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M0201_img000079,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0604_img000081,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0702_img000244,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1304_img000668,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0301_img000057,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1102_img000929,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M0501_img000184,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
M0604_img000343,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M1306_img000296,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1102_img000230,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1306_img001155,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1102_img000048,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
M1306_img000519,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1306_img000434,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M1005_img000120,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0210_img000389,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1002_img000410,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M0206_img000332,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
M0704_img000612,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0603_img000447,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M1005_img000201,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0201_img000781,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0401_img000466,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0603_img000500,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0201_img000806,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M1305_img000573,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
M0603_img000611,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M0605_img000232,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0603_img000394,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
M1202_img000227,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
M0101_img000275,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
M0604_img000568,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0605_img000009,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
M0604_img000107,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
